Classification Level,Count
Bacillus sp. (in: Bacteria),3379
Bacillus mycoides,398
Bacillus halodurans,96
Paenibacillus pabuli,54
Bacillus subtilis,4621
Streptomyces bacillaris,29
Enterococcus hirae,358
Leuconostoc lactis,375
Salinivibrio costicola,46
Neisseria meningitidis,1527
Clostridium disporicum,15
Bacillus pseudomycoides,165
Serratia marcescens,1056
Enterococcus faecalis,1452
Geobacillus thermoleovorans,77
Pseudomonas cichorii,57
Streptococcus suis,1169
Streptococcus cristatus,47
Candidatus Paraburkholderia rigidae,8
Variovorax paradoxus,141
Enterobacter cloacae,1632
Clostridioides difficile,1744
Streptococcus pneumoniae,6304
Escherichia coli,7200
Bradyrhizobium japonicum,324
Clostridioides difficile 630,9
Enterococcus faecium,2525
Actinomyces naeslundii,39
Bacillus cereus,3694
Listeria monocytogenes,2190
Bacillus galactosidilyticus,9
Bacillus canaveralius,15
Salmonella enterica subsp. enterica serovar Heidelberg,191
Sodalis glossinidius str. 'morsitans',11
Bradyrhizobium liaoningense,44
Cycloclasticus pugetii,19
Clostridium perfringens,258
Shigella sonnei,787
Serratia liquefaciens,133
Propionicimonas paludicola,12
Photorhabdus laumondii,43
Vibrio tubiashii,30
Salmonella enterica subsp. enterica serovar Typhi,2317
Salmonella enterica subsp. enterica serovar Manhattan,36
Stenotrophomonas pavanii,18
Staphylococcus pasteuri,177
Moraxella bovoculi,65
Streptomyces hiroshimensis,30
Helicobacter canadensis,25
Alteromonas macleodii,134
Lactobacillus plantarum,3688
Escherichia coli O157:H7,117
Lactobacillus buchneri,144
Streptomyces xanthophaeus,20
Rhizobium multihospitium,16
Histophilus somni,99
Bacillus licheniformis,2178
Klebsiella pneumoniae,4338
Paenarthrobacter nicotinovorans,66
Brevibacillus brevis,203
Burkholderia gladioli,133
Streptomyces paradoxus,11
Borrelia hermsii,64
Chlamydia trachomatis,154
Klebsiella oxytoca,457
Acinetobacter johnsonii,244
Acidiphilium cryptum,9
Pantoea agglomerans,634
Pseudomonas mandelii,132
Chlamydia psittaci,66
Fictibacillus barbaricus,39
Lactobacillus pontis,17
Romboutsia hominis,11
Polynucleobacter asymbioticus,242
Clavibacter michiganensis,146
Salmonella enterica subsp. enterica serovar Bovismorbificans,31
Yokenella regensburgei,32
Bacillus infantis,69
Pseudomonas fluorescens,997
Pediococcus pentosaceus,508
Vibrio vulnificus,191
Mycetohabitans rhizoxinica,11
Yersinia ruckeri,112
Lactococcus lactis,1738
Staphylococcus lugdunensis,68
Clostridioides difficile ATCC 9689 = DSM 1296,11
Staphylococcus succinus,60
Bacillus thuringiensis,1290
Lactobacillus kunkeei,279
Candidatus Tremblaya princeps,35
Pseudomonas xinjiangensis,94
Campylobacter upsaliensis,20
Campylobacter jejuni,1262
Acinetobacter baumannii,1813
Bacillus thermoamylovorans,64
Streptococcus gordonii,65
Campylobacter coli,758
Edwardsiella tarda,149
Paenibacillus taichungensis,49
Yersinia pestis,118
Streptococcus agalactiae,1250
Streptococcus anginosus,337
Pseudomonas jessenii,60
Vibrio atlanticus,34
Burkholderia pseudomallei,703
Aeromonas caviae,257
Salmonella enterica,1440
Lactococcus lactis subsp. cremoris,147
Enterococcus casseliflavus,148
Ralstonia syzygii subsp. indonesiensis,17
Legionella pneumophila,576
Alicyclobacillus acidoterrestris,120
Acinetobacter sp. 826659,8
Bacillus thuringiensis serovar israelensis,20
Oceanobacillus iheyensis,35
